experiment_condition,model,type,status,accuracy,precision,recall,specificity,f1,roc_auc,training_time_seconds,random_seed,error
FULL_DATA_FINAL,Logistic Regression,Classical,COMPLETED,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9722222222222222,0.9397590361445783,0.9953703703703705,0.002566375012975186,42,
FULL_DATA_FINAL,RBF SVM,Classical,COMPLETED,0.9385964912280702,0.972972972972973,0.8571428571428571,0.9861111111111112,0.9113924050632911,0.9953703703703705,0.004234791995259002,42,
FULL_DATA_FINAL,Random Forest,Classical,COMPLETED,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9722222222222222,0.9135802469135802,0.992228835978836,0.08871145799639635,42,
FULL_DATA_FINAL,VQC,Quantum,TIMED OUT,,,,,,,605.1057726669824,42,QuantumTimeoutError: Cooperative quantum timeout exceeded after 600 seconds.
FULL_DATA_FINAL,Quantum Kernel SVM,Quantum,COMPLETED,0.9473684210526315,0.95,0.9047619047619048,0.9722222222222222,0.926829268292683,0.9940476190476191,4.845315208018292,42,
MATCHED_DATA_150,Logistic Regression,Classical,COMPLETED,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9722222222222222,0.9397590361445783,0.996031746031746,0.0121897499775514,42,
MATCHED_DATA_150,RBF SVM,Classical,COMPLETED,0.9649122807017544,0.975,0.9285714285714286,0.9861111111111112,0.9512195121951219,0.996031746031746,0.0020781659986823797,42,
MATCHED_DATA_150,Random Forest,Classical,COMPLETED,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.9861111111111112,0.925,0.9907407407407407,0.08526791702024639,42,
MATCHED_DATA_150,Quantum Kernel SVM,Quantum,COMPLETED,0.9473684210526315,0.95,0.9047619047619048,0.9722222222222222,0.926829268292683,0.9940476190476191,4.7990801249979995,42,
